Order Date,Order Month,Region,Category,Sales
2017-06-17,2017-06,East,Technology,30.0
2017-06-17,2017-06,East,Office Supplies,48.48
2017-06-17,2017-06,East,Office Supplies,1.68
2016-11-24,2016-11,West,Technology,13.98
2016-11-24,2016-11,West,Office Supplies,25.824
2016-11-24,2016-11,West,Office Supplies,146.73
2016-11-24,2016-11,West,Furniture,79.76
2016-04-30,2016-04,Central,Furniture,213.115
2015-12-05,2015-12,West,Office Supplies,1113.024
2015-12-05,2015-12,West,Technology,167.968
2017-06-04,2017-06,South,Office Supplies,75.88
2017-09-18,2017-09,East,Office Supplies,4.616
2018-09-14,2018-09,Central,Office Supplies,19.05
2016-04-26,2016-04,South,Furniture,831.936
2016-04-26,2016-04,South,Furniture,97.04
2016-04-26,2016-04,South,Office Supplies,72.784
2018-12-09,2018-12,Central,Office Supplies,1.248
2018-12-09,2018-12,Central,Furniture,9.708
2018-12-09,2018-12,Central,Office Supplies,27.24
2015-11-26,2015-11,Central,Furniture,19.3
2017-06-12,2017-06,South,Office Supplies,208.16
2017-06-12,2017-06,South,Office Supplies,16.74
2015-10-12,2015-10,West,Office Supplies,14.9
2015-10-12,2015-10,West,Office Supplies,21.39
2016-09-03,2016-09,South,Office Supplies,200.984
2018-11-13,2018-11,Central,Office Supplies,230.376
2018-05-28,2018-05,South,Furniture,301.96
2018-10-26,2018-10,Central,Technology,19.99
2018-10-26,2018-10,Central,Office Supplies,6.16
2017-04-05,2017-04,Central,Office Supplies,158.368
2017-09-17,2017-09,West,Office Supplies,20.1
2017-09-17,2017-09,West,Technology,73.584
2017-09-17,2017-09,West,Office Supplies,6.48
2016-01-31,2016-01,Central,Office Supplies,12.96
2016-01-31,2016-01,Central,Furniture,53.34
2016-01-31,2016-01,Central,Office Supplies,32.96
2018-11-06,2018-11,West,Office Supplies,5.682
2018-11-09,2018-11,East,Furniture,96.53
2018-06-17,2018-06,West,Office Supplies,51.312
2017-09-06,2017-09,Central,Office Supplies,77.88
2017-08-29,2017-08,Central,Office Supplies,64.624
2017-08-29,2017-08,Central,Technology,95.976
2017-08-29,2017-08,Central,Office Supplies,1.788
2017-12-01,2017-12,Central,Office Supplies,23.92
2016-11-13,2016-11,West,Technology,238.896
2016-11-13,2016-11,West,Furniture,102.36
2016-11-13,2016-11,West,Office Supplies,36.882
2018-11-23,2018-11,South,Technology,74.112
2018-11-23,2018-11,South,Technology,27.992
2018-11-23,2018-11,South,Office Supplies,3.304
2016-10-15,2016-10,Central,Technology,339.96
2018-12-25,2018-12,East,Furniture,41.96
2017-11-03,2017-11,Central,Office Supplies,75.96
2017-11-03,2017-11,Central,Office Supplies,27.24
2015-08-25,2015-08,East,Office Supplies,40.096
2015-08-25,2015-08,East,Office Supplies,4.72
2015-08-25,2015-08,East,Office Supplies,23.976
2015-08-25,2015-08,East,Office Supplies,130.464
2016-03-02,2016-03,West,Furniture,787.53
2016-04-05,2016-04,South,Office Supplies,157.794
2017-06-12,2017-06,East,Furniture,47.04
2017-06-12,2017-06,East,Office Supplies,30.84
2017-06-12,2017-06,East,Office Supplies,226.56
2017-06-12,2017-06,East,Office Supplies,115.02
2017-06-12,2017-06,East,Technology,68.04
2015-12-26,2015-12,Central,Furniture,600.558
2015-09-20,2015-09,Central,Furniture,617.7
2018-11-05,2018-11,West,Office Supplies,2.388
2018-11-05,2018-11,West,Office Supplies,243.992
2017-11-06,2017-11,West,Furniture,81.424
2017-11-06,2017-11,West,Furniture,238.56
2018-02-02,2018-02,East,Technology,59.97
2018-02-02,2018-02,East,Office Supplies,78.304
2018-02-02,2018-02,East,Office Supplies,21.456
2017-10-13,2017-10,West,Office Supplies,20.04
2017-10-13,2017-10,West,Office Supplies,35.44
2017-10-13,2017-10,West,Office Supplies,11.52
2017-10-13,2017-10,West,Office Supplies,4.02
2017-10-13,2017-10,West,Office Supplies,76.176
2017-10-13,2017-10,West,Office Supplies,65.88
2017-10-13,2017-10,West,Furniture,43.12
2017-09-05,2017-09,East,Furniture,82.8
2018-09-18,2018-09,West,Office Supplies,8.82
2018-09-18,2018-09,West,Office Supplies,10.86
2018-09-18,2018-09,West,Office Supplies,143.7
2018-12-22,2018-12,Central,Office Supplies,839.43
2016-09-07,2016-09,West,Office Supplies,671.93
2015-10-22,2015-10,East,Furniture,93.888
2017-12-05,2017-12,Central,Technology,384.45
2017-12-05,2017-12,Central,Technology,149.97
2017-12-05,2017-12,Central,Furniture,1951.84
2017-12-05,2017-12,Central,Office Supplies,171.55
2017-03-13,2017-03,West,Office Supplies,157.92
2017-03-13,2017-03,West,Technology,203.184
2016-05-31,2016-05,West,Office Supplies,58.38
2016-05-31,2016-05,West,Office Supplies,105.52
2016-05-31,2016-05,West,Office Supplies,80.88
2016-05-28,2016-05,West,Office Supplies,6.63
2015-03-01,2015-03,West,Furniture,457.568
2017-11-20,2017-11,Central,Office Supplies,14.62
2017-11-20,2017-11,Central,Technology,944.93
2017-05-11,2017-05,West,Office Supplies,5.98
2016-12-28,2016-12,East,Technology,54.384
2017-11-16,2017-11,West,Office Supplies,28.4
2017-11-07,2017-11,West,Office Supplies,27.68
2015-09-08,2015-09,Central,Office Supplies,9.936
2015-09-08,2015-09,Central,Technology,8159.952
2015-09-08,2015-09,Central,Office Supplies,275.928
2015-09-08,2015-09,Central,Furniture,1740.06
2015-09-08,2015-09,Central,Office Supplies,32.064
2015-09-08,2015-09,Central,Office Supplies,177.98
2015-09-08,2015-09,Central,Technology,143.976
2015-08-05,2015-08,West,Office Supplies,20.94
2015-08-05,2015-08,West,Office Supplies,110.96
2015-08-05,2015-08,West,Furniture,340.144
2015-09-14,2015-09,Central,Office Supplies,52.448
2015-09-14,2015-09,Central,Office Supplies,20.16
2018-04-21,2018-04,Central,Office Supplies,97.264
2016-11-21,2016-11,East,Furniture,396.802
2016-11-21,2016-11,East,Office Supplies,15.88
2016-12-15,2016-12,East,Office Supplies,3.28
2015-12-05,2015-12,Central,Office Supplies,24.816
2015-12-05,2015-12,Central,Technology,408.744
2015-11-19,2015-11,South,Technology,503.96
2015-11-19,2015-11,South,Technology,149.95
2015-11-19,2015-11,South,Technology,29.0
2017-11-28,2017-11,East,Office Supplies,7.16
2015-08-26,2015-08,West,Technology,176.8
2017-07-16,2017-07,Central,Office Supplies,37.224
2017-07-16,2017-07,Central,Office Supplies,20.016
2016-10-12,2016-10,East,Furniture,899.136
2016-10-12,2016-10,East,Technology,71.76
2016-10-12,2016-10,East,Office Supplies,51.84
2016-10-12,2016-10,East,Furniture,626.352
2016-10-12,2016-10,East,Office Supplies,19.9
2016-10-31,2016-10,West,Office Supplies,14.28
2015-03-21,2015-03,East,Office Supplies,7.408
2015-03-21,2015-03,East,Office Supplies,6.048
2018-11-06,2018-11,East,Office Supplies,46.26
2018-07-06,2018-07,East,Office Supplies,2.946
2018-07-06,2018-07,East,Office Supplies,16.056
2018-06-24,2018-06,East,Office Supplies,21.744
2015-08-03,2015-08,West,Furniture,218.75
2015-08-03,2015-08,West,Office Supplies,2.6
2018-12-17,2018-12,Central,Office Supplies,66.284
2018-06-03,2018-06,South,Furniture,35.168
2018-12-09,2018-12,West,Technology,444.768
2018-12-01,2018-12,Central,Office Supplies,83.92
2018-12-01,2018-12,Central,Technology,131.98
2018-12-01,2018-12,Central,Office Supplies,15.92
2018-12-01,2018-12,Central,Office Supplies,52.29
2018-12-01,2018-12,Central,Office Supplies,91.99
2016-02-09,2016-02,Central,Technology,20.8
2016-01-02,2016-01,East,Office Supplies,23.68
2016-01-02,2016-01,East,Furniture,452.45
2016-01-02,2016-01,East,Technology,62.982
2016-01-02,2016-01,East,Technology,1188.0
2016-01-02,2016-01,East,Technology,89.584
2017-10-28,2017-10,West,Office Supplies,93.06
2017-10-28,2017-10,West,Technology,302.376
2016-12-24,2016-12,East,Office Supplies,5.584
2016-12-24,2016-12,East,Office Supplies,22.704
2016-12-24,2016-12,East,Office Supplies,19.776
2016-12-24,2016-12,East,Furniture,72.704
2016-12-24,2016-12,East,Technology,479.988
2016-12-24,2016-12,East,Office Supplies,27.168
2016-08-09,2016-08,Central,Office Supplies,2.2
2016-08-09,2016-08,Central,Furniture,622.45
2016-08-09,2016-08,Central,Office Supplies,21.98
2016-02-28,2016-02,South,Furniture,161.568
2016-02-28,2016-02,South,Furniture,389.696
2015-09-13,2015-09,South,Office Supplies,18.648
2018-04-07,2018-04,South,Furniture,233.86
2018-04-07,2018-04,South,Furniture,620.6145
2018-04-07,2018-04,South,Office Supplies,5.328
2018-04-07,2018-04,South,Furniture,258.072
2018-04-07,2018-04,South,Technology,617.976
2018-11-12,2018-11,West,Office Supplies,10.56
2017-06-04,2017-06,Central,Office Supplies,25.92
2017-06-04,2017-06,Central,Furniture,419.68
2017-06-04,2017-06,Central,Furniture,11.688
2017-06-04,2017-06,Central,Technology,31.984
2017-06-04,2017-06,Central,Furniture,177.225
2017-06-04,2017-06,Central,Furniture,4.044
2017-06-04,2017-06,Central,Office Supplies,7.408
2015-06-01,2015-06,Central,Furniture,2001.86
2015-06-01,2015-06,Central,Office Supplies,166.72
2015-06-01,2015-06,Central,Office Supplies,47.88
2015-06-01,2015-06,Central,Office Supplies,1503.25
2015-06-01,2015-06,Central,Office Supplies,25.92
2017-12-10,2017-12,West,Furniture,321.568
2017-09-11,2017-09,West,Office Supplies,7.61
2017-09-11,2017-09,West,Technology,3347.37
2017-12-10,2017-12,East,Office Supplies,80.58
2017-12-10,2017-12,East,Office Supplies,361.92
2016-11-28,2016-11,Central,Furniture,12.132
2016-11-28,2016-11,Central,Office Supplies,82.368
2016-11-28,2016-11,Central,Office Supplies,53.92
2016-11-28,2016-11,Central,Technology,647.904
2018-12-01,2018-12,East,Technology,20.37
2018-12-01,2018-12,East,Office Supplies,221.55
2018-12-01,2018-12,East,Office Supplies,17.52
2018-06-08,2018-06,Central,Office Supplies,1.624
2015-09-19,2015-09,Central,Technology,3059.982
2015-09-19,2015-09,Central,Technology,2519.958
2017-06-06,2017-06,Central,Technology,328.224
2016-11-10,2016-11,West,Technology,79.9
2018-06-16,2018-06,South,Office Supplies,14.016
2017-01-22,2017-01,East,Office Supplies,7.56
2018-12-09,2018-12,East,Office Supplies,37.208
2018-12-09,2018-12,East,Office Supplies,57.576
2018-12-28,2018-12,West,Office Supplies,725.84
2016-07-30,2016-07,West,Technology,209.93
2016-07-30,2016-07,West,Furniture,5.28
2016-07-30,2016-07,West,Office Supplies,10.92
2018-09-16,2018-09,West,Office Supplies,8.82
2018-09-16,2018-09,West,Office Supplies,5.98
2018-10-13,2018-10,East,Office Supplies,11.648
2018-10-13,2018-10,East,Office Supplies,18.176
2018-10-13,2018-10,East,Office Supplies,59.712
2018-10-13,2018-10,East,Office Supplies,24.84
2016-09-26,2016-09,Central,Office Supplies,2.08
2016-09-26,2016-09,Central,Technology,1114.4
2016-11-02,2016-11,West,Furniture,1038.84
2016-09-26,2016-09,West,Office Supplies,141.76
2016-09-26,2016-09,West,Technology,239.8
2016-09-26,2016-09,West,Office Supplies,31.104
2017-12-18,2017-12,South,Office Supplies,254.058
2017-12-18,2017-12,South,Office Supplies,194.528
2017-12-18,2017-12,South,Office Supplies,961.48
2017-11-20,2017-11,East,Office Supplies,19.096
2017-11-20,2017-11,East,Office Supplies,18.496
2017-11-20,2017-11,East,Technology,255.984
2017-11-20,2017-11,East,Furniture,86.97
2015-12-26,2015-12,West,Furniture,300.416
2015-12-26,2015-12,West,Furniture,230.352
2015-12-26,2015-12,West,Furniture,218.352
2015-12-26,2015-12,West,Office Supplies,78.6
2015-12-26,2015-12,West,Office Supplies,27.552
2017-10-28,2017-10,East,Office Supplies,32.4
2017-10-28,2017-10,East,Office Supplies,1082.48
2017-10-28,2017-10,East,Office Supplies,56.91
2017-10-28,2017-10,East,Furniture,77.6
2017-10-28,2017-10,East,Office Supplies,14.28
2018-11-19,2018-11,Central,Furniture,219.075
2016-05-04,2016-05,East,Furniture,26.8
2015-12-30,2015-12,Central,Office Supplies,9.84
2015-06-01,2015-06,East,Office Supplies,45.48
2015-06-01,2015-06,East,Office Supplies,289.2
2018-04-15,2018-04,South,Office Supplies,4.89
2017-09-12,2017-09,West,Furniture,15.136
2017-09-12,2017-09,West,Furniture,466.768
2017-09-12,2017-09,West,Furniture,15.232
2017-09-12,2017-09,West,Office Supplies,6.264
2015-09-27,2015-09,East,Furniture,87.54
2015-08-09,2015-08,South,Technology,178.384
2015-08-09,2015-08,South,Office Supplies,15.552
2015-12-28,2015-12,East,Office Supplies,99.136
2015-11-04,2015-11,East,Furniture,135.882
2015-11-04,2015-11,East,Technology,3991.98
2015-11-04,2015-11,East,Technology,275.94
2015-11-04,2015-11,East,Technology,360.0
2015-11-04,2015-11,East,Office Supplies,43.57
2015-09-19,2015-09,West,Office Supplies,7.16
2017-04-23,2017-04,West,Office Supplies,251.52
2017-04-23,2017-04,West,Technology,99.99
2018-11-03,2018-11,South,Furniture,15.992
2017-08-30,2017-08,East,Technology,290.898
2017-08-30,2017-08,East,Office Supplies,54.224
2017-08-30,2017-08,East,Furniture,786.744
2017-08-30,2017-08,East,Office Supplies,100.24
2017-08-30,2017-08,East,Office Supplies,37.764
2017-04-25,2017-04,East,Technology,82.8
2017-04-25,2017-04,East,Office Supplies,20.724
2017-04-25,2017-04,East,Office Supplies,4.896
2016-09-01,2016-09,West,Office Supplies,4.752
2016-09-01,2016-09,West,Technology,959.984
2016-09-01,2016-09,West,Office Supplies,14.368
2015-07-12,2015-07,West,Office Supplies,7.712
2015-07-12,2015-07,West,Furniture,698.352
2016-06-22,2016-06,West,Office Supplies,4.96
2015-04-13,2015-04,East,Office Supplies,17.856
2015-04-13,2015-04,East,Office Supplies,509.97
2015-04-13,2015-04,East,Office Supplies,30.992
2015-04-13,2015-04,East,Technology,71.928
2016-12-20,2016-12,Central,Office Supplies,88.8
2018-06-15,2018-06,West,Technology,47.976
2018-07-08,2018-07,East,Office Supplies,7.56
2018-07-08,2018-07,East,Office Supplies,24.56
2018-07-08,2018-07,East,Office Supplies,12.96
2017-09-01,2017-09,East,Technology,6.79
2017-09-01,2017-09,East,Office Supplies,24.56
2017-09-01,2017-09,East,Office Supplies,3.048
2017-09-01,2017-09,East,Office Supplies,49.12
2017-09-01,2017-09,East,Office Supplies,4355.168
2017-04-08,2017-04,East,Furniture,388.704
2017-04-08,2017-04,East,Office Supplies,8.26
2017-04-08,2017-04,East,Office Supplies,17.04
2017-04-08,2017-04,East,Office Supplies,34.4
2017-04-23,2017-04,South,Office Supplies,36.24
2018-03-08,2018-03,South,Office Supplies,647.84
2018-03-08,2018-03,South,Office Supplies,20.7
2018-09-25,2018-09,East,Office Supplies,20.7
2018-09-25,2018-09,East,Furniture,488.646
2018-09-25,2018-09,East,Office Supplies,5.56
2018-09-25,2018-09,East,Furniture,47.12
2015-09-24,2015-09,West,Office Supplies,211.96
2017-10-21,2017-10,East,Office Supplies,23.2
2017-10-21,2017-10,East,Office Supplies,7.36
2017-10-21,2017-10,East,Office Supplies,104.79
2017-10-21,2017-10,East,Furniture,1043.92
2018-05-29,2018-05,Central,Office Supplies,25.92
2018-05-29,2018-05,Central,Office Supplies,53.424
2015-07-23,2015-07,West,Office Supplies,8.16
2015-07-23,2015-07,West,Technology,1023.936
2015-07-23,2015-07,West,Office Supplies,9.24
2015-07-23,2015-07,West,Technology,479.04
2017-09-28,2017-09,Central,Office Supplies,99.136
2018-08-27,2018-08,East,Furniture,1488.424
2016-04-28,2016-04,Central,Office Supplies,8.652
2016-04-28,2016-04,Central,Office Supplies,23.832
2016-04-28,2016-04,Central,Office Supplies,12.176
2017-10-28,2017-10,West,Office Supplies,50.96
2017-10-28,2017-10,West,Office Supplies,49.536
2016-06-26,2016-06,Central,Technology,41.9
2016-11-27,2016-11,South,Furniture,375.4575
2016-11-27,2016-11,South,Technology,83.976
2016-12-03,2016-12,East,Technology,482.34
2016-12-03,2016-12,East,Furniture,2.96
2015-11-24,2015-11,East,Office Supplies,2.624
2018-12-11,2018-12,East,Office Supplies,23.36
2018-12-11,2018-12,East,Technology,39.98
2015-09-21,2015-09,West,Technology,246.384
2015-09-21,2015-09,West,Technology,1799.97
2015-06-07,2015-06,Central,Office Supplies,12.462
2018-06-30,2018-06,West,Office Supplies,75.792
2018-10-17,2018-10,East,Office Supplies,49.96
2018-10-17,2018-10,East,Office Supplies,12.96
2016-10-31,2016-10,Central,Office Supplies,70.12
2017-09-08,2017-09,Central,Office Supplies,35.952
2017-09-08,2017-09,Central,Furniture,2396.2656
2017-09-08,2017-09,Central,Office Supplies,131.136
2017-09-08,2017-09,Central,Technology,57.584
2015-12-24,2015-12,South,Office Supplies,9.568
2015-04-16,2015-04,South,Office Supplies,39.072
2018-12-24,2018-12,East,Office Supplies,35.91
2018-12-08,2018-12,West,Technology,179.95
2018-12-08,2018-12,West,Technology,1199.976
2018-12-08,2018-12,West,Office Supplies,27.15
2018-12-08,2018-12,West,Furniture,1004.024
2018-12-08,2018-12,West,Office Supplies,9.68
2018-12-08,2018-12,West,Office Supplies,28.35
2018-12-08,2018-12,West,Office Supplies,55.98
2018-12-08,2018-12,West,Furniture,1336.829
2018-12-08,2018-12,West,Furniture,113.568
2018-11-03,2018-11,West,Office Supplies,139.86
2018-11-03,2018-11,West,Furniture,307.136
2018-06-24,2018-06,West,Office Supplies,95.92
2017-04-14,2017-04,West,Furniture,383.8
2018-11-06,2018-11,South,Office Supplies,5.78
2018-03-04,2018-03,West,Office Supplies,9.32
2018-03-04,2018-03,West,Office Supplies,15.25
2015-06-22,2015-06,West,Technology,196.752
2018-10-19,2018-10,East,Furniture,56.56
2018-10-19,2018-10,East,Office Supplies,32.7
2018-08-21,2018-08,South,Furniture,866.4
2018-11-23,2018-11,Central,Furniture,28.4
2018-11-23,2018-11,Central,Office Supplies,287.92
2015-09-12,2015-09,East,Technology,69.99
2018-10-01,2018-10,Central,Office Supplies,6.672
2017-04-15,2017-04,South,Office Supplies,189.588
2017-04-15,2017-04,South,Technology,408.744
2017-04-15,2017-04,South,Technology,291.96
2017-04-15,2017-04,South,Office Supplies,4.768
2017-06-06,2017-06,East,Office Supplies,714.3
2015-12-19,2015-12,South,Office Supplies,4.812
2015-12-19,2015-12,South,Technology,247.8
2017-06-12,2017-06,Central,Technology,1007.979
2017-06-12,2017-06,Central,Office Supplies,313.488
2018-09-15,2018-09,Central,Office Supplies,31.872
2018-01-20,2018-01,East,Furniture,207.846
2017-09-05,2017-09,Central,Furniture,12.22
2017-09-05,2017-09,Central,Office Supplies,194.94
2017-09-05,2017-09,Central,Office Supplies,70.95
2017-09-05,2017-09,Central,Office Supplies,91.36
2017-09-05,2017-09,Central,Furniture,242.94
2017-09-05,2017-09,Central,Office Supplies,22.05
2018-03-20,2018-03,Central,Furniture,2.91
2017-04-01,2017-04,East,Office Supplies,59.52
2017-04-01,2017-04,East,Office Supplies,161.94
2017-04-01,2017-04,East,Office Supplies,263.88
2017-04-01,2017-04,East,Office Supplies,30.48
2017-04-01,2017-04,East,Office Supplies,9.84
2017-04-01,2017-04,East,Technology,35.12
2018-10-20,2018-10,East,Furniture,284.364
2018-10-20,2018-10,East,Office Supplies,665.408
2017-12-13,2017-12,Central,Technology,63.88
2015-02-12,2015-02,West,Furniture,129.568
2017-09-26,2017-09,Central,Furniture,747.558
2017-09-26,2017-09,Central,Office Supplies,8.928
2016-12-15,2016-12,West,Office Supplies,103.92
2016-12-15,2016-12,West,Technology,899.91
2016-12-15,2016-12,West,Office Supplies,51.312
2017-04-22,2017-04,West,Furniture,23.56
2017-04-22,2017-04,West,Furniture,1272.63
2017-04-22,2017-04,West,Office Supplies,28.485
2017-04-22,2017-04,West,Office Supplies,185.376
2017-04-22,2017-04,West,Office Supplies,78.272
2016-01-17,2016-01,Central,Furniture,254.744
2018-03-31,2018-03,Central,Furniture,205.3328
2017-12-16,2017-12,Central,Office Supplies,4.788
2016-12-20,2016-12,East,Office Supplies,55.48
2015-11-09,2015-11,West,Office Supplies,340.92
2015-11-09,2015-11,West,Furniture,222.666
2015-11-09,2015-11,West,Technology,703.968
2015-11-09,2015-11,West,Office Supplies,92.52
2015-11-09,2015-11,West,Office Supplies,62.65
2015-11-09,2015-11,West,Office Supplies,94.85
2017-07-12,2017-07,West,Technology,95.76
2017-10-27,2017-10,East,Furniture,40.2
2017-06-26,2017-06,East,Office Supplies,14.7
2017-06-26,2017-06,East,Office Supplies,704.25
2015-10-06,2015-10,West,Technology,9.09
2015-07-22,2015-07,East,Office Supplies,5.96
2015-07-22,2015-07,East,Technology,159.98
2018-06-10,2018-06,West,Office Supplies,29.6
2018-06-10,2018-06,West,Furniture,514.165
2018-06-10,2018-06,West,Technology,279.96
2015-10-29,2015-10,Central,Technology,2735.952
2015-06-09,2015-06,Central,Technology,7.992
2015-06-09,2015-06,Central,Technology,63.984
2015-06-09,2015-06,Central,Office Supplies,70.368
2015-09-14,2015-09,East,Office Supplies,449.15
2015-09-14,2015-09,East,Office Supplies,11.07
2017-05-09,2017-05,West,Technology,93.98
2017-03-18,2017-03,South,Furniture,189.882
2016-12-27,2016-12,South,Office Supplies,105.42
2017-07-25,2017-07,West,Office Supplies,119.616
2017-07-25,2017-07,West,Furniture,255.76
2017-07-25,2017-07,West,Furniture,241.568
2017-07-25,2017-07,West,Furniture,69.3
2017-05-30,2017-05,West,Office Supplies,22.62
2017-05-30,2017-05,West,Office Supplies,14.952
2017-05-30,2017-05,West,Furniture,801.568
2017-05-30,2017-05,West,Office Supplies,2.376
2017-05-30,2017-05,West,Office Supplies,32.792
2018-11-12,2018-11,East,Office Supplies,15.92
2016-03-16,2016-03,South,Office Supplies,2.74
2016-03-16,2016-03,South,Office Supplies,8.34
2016-03-16,2016-03,South,Office Supplies,46.74
2016-03-16,2016-03,South,Office Supplies,6354.95
2018-11-26,2018-11,Central,Furniture,126.3
2018-11-26,2018-11,Central,Technology,38.04
2017-10-20,2017-10,East,Office Supplies,7.152
2018-12-21,2018-12,West,Office Supplies,6.63
2018-12-21,2018-12,West,Office Supplies,5.88
2018-01-22,2018-01,West,Technology,2999.95
2018-01-22,2018-01,West,Office Supplies,51.45
2018-01-22,2018-01,West,Office Supplies,11.96
2018-01-22,2018-01,West,Office Supplies,1126.02
2016-03-22,2016-03,Central,Technology,18.392
2016-03-22,2016-03,Central,Office Supplies,129.568
2016-03-22,2016-03,Central,Office Supplies,14.112
2018-01-23,2018-01,Central,Furniture,210.98
2017-05-21,2017-05,West,Technology,55.176
2017-05-21,2017-05,West,Technology,66.26
2016-12-26,2016-12,East,Office Supplies,22.2
2018-10-21,2018-10,South,Furniture,683.952
2018-10-21,2018-10,South,Furniture,45.696
2016-09-03,2016-09,East,Office Supplies,36.336
2016-09-03,2016-09,East,Office Supplies,666.248
2016-09-03,2016-09,East,Office Supplies,52.512
2016-11-07,2016-11,West,Furniture,190.72
2018-09-07,2018-09,West,Furniture,47.94
2017-05-29,2017-05,South,Technology,979.95
2017-05-29,2017-05,South,Office Supplies,22.75
2017-07-10,2017-07,West,Office Supplies,16.768
2018-09-03,2018-09,Central,Office Supplies,42.616
2016-12-03,2016-12,East,Office Supplies,10.752
2016-12-07,2016-12,South,Office Supplies,152.94
2016-12-07,2016-12,South,Furniture,283.92
2015-02-01,2015-02,Central,Technology,468.9
2017-07-14,2017-07,West,Technology,380.864
2016-12-18,2016-12,East,Office Supplies,646.776
2015-05-11,2015-05,Central,Technology,58.112
2015-05-11,2015-05,Central,Technology,100.792
2015-05-11,2015-05,Central,Furniture,66.112
2018-11-19,2018-11,East,Office Supplies,41.28
2018-11-19,2018-11,East,Office Supplies,13.36
2016-11-15,2016-11,Central,Office Supplies,250.272
2016-11-15,2016-11,Central,Office Supplies,11.364
2016-11-15,2016-11,Central,Office Supplies,8.72
2017-04-15,2017-04,West,Furniture,1121.568
2018-09-11,2018-09,South,Furniture,34.504
2018-11-24,2018-11,Central,Office Supplies,10.824
2018-06-29,2018-06,West,Office Supplies,1295.78
2015-03-03,2015-03,South,Office Supplies,19.456
2017-06-10,2017-06,West,Office Supplies,20.7
2017-06-10,2017-06,West,Furniture,1335.68
2017-06-10,2017-06,West,Office Supplies,32.4
2018-11-20,2018-11,West,Furniture,42.6
2018-11-20,2018-11,West,Office Supplies,84.056
2015-09-14,2015-09,South,Office Supplies,13.0
2015-09-14,2015-09,South,Furniture,13.128
2016-12-07,2016-12,West,Office Supplies,3.96
2016-12-07,2016-12,West,Office Supplies,2.61
2018-12-07,2018-12,West,Technology,374.376
2018-10-01,2018-10,West,Office Supplies,91.84
2018-10-01,2018-10,West,Office Supplies,81.088
2018-10-01,2018-10,West,Office Supplies,19.44
2018-10-01,2018-10,West,Furniture,451.152
2018-12-28,2018-12,East,Office Supplies,72.45
2018-12-28,2018-12,East,Office Supplies,13.96
2018-12-28,2018-12,East,Office Supplies,33.264
